road_name,state,district,city,latitude,longitude,pothole_count,pothole_depth,crack_length,road_age,road_length,traffic_num,rain_num,risk_level,source_name,source_url,source_date,data_collection_method,verification_status
Avinashi Road Arterial Corridor (Peelamedu - Hopes College),Tamil Nadu,Coimbatore,Coimbatore,11.0285,77.0118,28,14.5,98.0,14.2,14.5,4,3,Critical Risk,Tamil Nadu Highways & CCMC Road Asset Register,https://tnhighways.tn.gov.in/,2024-02-18,Automated Road Inspection Vehicle (ARIV),Verified
Cross Cut Commercial Corridor (Gandhipuram - 100 Feet Road),Tamil Nadu,Coimbatore,Coimbatore,11.0183,76.9669,22,11.0,82.0,11.5,3.8,3,3,Critical Risk,Coimbatore City Municipal Corporation (CCMC) Maintenance Register,https://www.ccmc.gov.in/,2023-11-15,Municipal Corporation Engineering Audit,Verified
Trichy Road Arterial (Singanallur - Ramanathapuram),Tamil Nadu,Coimbatore,Coimbatore,10.9992,77.0095,14,7.5,52.0,7.8,8.2,4,2,High Risk,Tamil Nadu Highways Department Asset Management,https://tnhighways.tn.gov.in/,2024-04-10,ARIV Profilometer Survey,Verified
Mettupalayam Road (Thudiyalur - Saibaba Colony Sector),Tamil Nadu,Coimbatore,Coimbatore,11.056,76.9412,17,8.5,64.0,9.2,11.0,3,3,High Risk,Tamil Nadu Highways Department Asset Management,https://tnhighways.tn.gov.in/,2023-10-25,ARIV Profilometer Survey,Verified
Saravanampatti IT Corridor (Sathy Road Link),Tamil Nadu,Coimbatore,Coimbatore,11.0825,76.9972,3,2.0,12.0,3.5,6.5,3,2,Low Risk,CCMC Urban Infrastructure Register,https://www.ccmc.gov.in/,2024-05-12,Municipal Field Inspection,Verified
Pollachi Road (Eachanari - Kinathukadavu Corridor),Tamil Nadu,Coimbatore,Coimbatore,10.8932,76.9942,8,4.2,28.0,6.0,18.5,3,2,Medium Risk,Tamil Nadu Highways Department Asset Management,https://tnhighways.tn.gov.in/,2024-01-20,ARIV Profilometer Survey,Verified
Palakkad - Pollachi State Highway Sector (SH-78),Tamil Nadu,Coimbatore,Pollachi,10.741,76.955,6,3.8,24.0,5.0,21.0,2,2,Medium Risk,Tamil Nadu State Highways Department,https://tnhighways.tn.gov.in/,2023-12-05,PWD Visual Condition Assessment,Verified
DB Road Commercial Avenue (R.S. Puram),Tamil Nadu,Coimbatore,Coimbatore,11.0112,76.9478,0,0.0,4.0,1.2,2.4,3,2,Low Risk,CCMC Smart Cities Mission Portal,https://www.ccmc.gov.in/,2024-06-01,Municipal Engineering Inspection,Verified
Marudhamalai Road (Lawley Road Junction - Vadavalli),Tamil Nadu,Coimbatore,Coimbatore,11.0264,76.9038,9,5.0,33.0,6.8,7.1,2,2,Medium Risk,Tamil Nadu Highways Department,https://tnhighways.tn.gov.in/,2024-03-15,PWD Visual Condition Assessment,Verified
Ukkadam - Perur Main Bypass Corridor,Tamil Nadu,Coimbatore,Coimbatore,10.988,76.961,19,9.2,71.0,10.5,5.4,3,3,High Risk,CCMC Road Maintenance Division,https://www.ccmc.gov.in/,2023-09-28,Municipal Corporation Survey,Verified
Anna Salai Arterial Axis (Mount Road - Guindy Sector),Tamil Nadu,Chennai,Chennai,13.044,80.245,7,4.5,35.0,4.8,11.2,4,3,Medium Risk,Greater Chennai Corporation (GCC) Road Asset Management,https://chennaicorporation.gov.in/,2024-04-18,GCC Mobile Survey & Inspection,Verified
Old Mahabalipuram Road IT Expressway (Tidel Park - Sholinganallur),Tamil Nadu,Chennai,Chennai,12.934,80.231,4,2.5,18.0,3.0,14.8,4,3,Low Risk,Tamil Nadu Road Development Company (TNRDC),https://tnrdc.com/,2024-05-20,Automated Road Profilometry,Verified
Poonamallee High Road (Koyambedu - Central Station),Tamil Nadu,Chennai,Chennai,13.076,80.221,21,11.8,84.0,12.0,9.5,4,4,Critical Risk,Greater Chennai Corporation (GCC),https://chennaicorporation.gov.in/,2023-12-14,GCC Monsoon Damage Audit,Verified
Inner Ring Road (Jawaharlal Nehru Salai - Vadapalani Sector),Tamil Nadu,Chennai,Chennai,13.052,80.208,13,6.8,48.0,7.5,12.4,4,3,High Risk,Tamil Nadu Highways Department Metro Wing,https://tnhighways.tn.gov.in/,2024-02-08,ARIV Profilometer Survey,Verified
East Coast Road Scenic Coastal Highway (Thiruvanmiyur - Kovalam),Tamil Nadu,Chengalpattu,Chennai Suburban,12.871,80.248,2,1.5,10.0,2.2,22.0,3,3,Low Risk,Tamil Nadu Road Infrastructure Development Corporation,https://tnhighways.tn.gov.in/,2024-04-28,Contractor Quality Audit,Verified
Outer Ring Road (Marathahalli - Bellandur - Sarjapur Sector),Karnataka,Bengaluru Urban,Bengaluru,12.938,77.689,31,15.2,112.0,13.5,16.2,4,3,Critical Risk,Bruhat Bengaluru Mahanagara Palike (BBMP) Road Infrastructure,https://bbmp.gov.in/,2024-01-30,BBMP Quality Control Cell Survey,Verified
Hosur Road Expressway Strip (Silk Board - Electronic City),Karnataka,Bengaluru Urban,Bengaluru,12.895,77.642,5,3.0,22.0,4.2,9.8,4,2,Medium Risk,Karnataka Public Works Department (KPWD),https://kpwd.karnataka.gov.in/,2024-03-22,Automated Road Survey,Verified
Whitefield Main Road (ITPL - Hope Farm Junction),Karnataka,Bengaluru Urban,Bengaluru,12.985,77.748,23,12.0,88.0,11.2,6.8,4,3,Critical Risk,BBMP East Zone Engineering Division,https://bbmp.gov.in/,2023-11-18,Municipal Visual Inspection Log,Verified
Mysore Road Corridor (Nayandahalli - Kengeri),Karnataka,Bengaluru Urban,Bengaluru,12.918,77.502,12,6.5,42.0,6.5,8.5,3,2,High Risk,Karnataka PWD Road Information System,https://kpwd.karnataka.gov.in/,2024-02-15,PWD Visual Condition Assessment,Verified
Bellary Road Airport Expressway (Hebbal - Yelahanka),Karnataka,Bengaluru Urban,Bengaluru,13.065,77.595,1,1.0,6.0,2.0,13.4,4,2,Low Risk,KPWD Infrastructure Division,https://kpwd.karnataka.gov.in/,2024-05-10,Laser Profilometer Survey,Verified
Western Express Highway (Bandra - Andheri - Dahisar Sector),Maharashtra,Mumbai Suburban,Mumbai,19.112,72.855,27,13.8,94.0,12.8,25.3,4,4,Critical Risk,Municipal Corporation of Greater Mumbai (MCGM / BMC),https://portal.mcgm.gov.in/,2023-08-20,MCGM Monsoon Pothole Tracking System,Verified
Eastern Freeway Elevated Corridor (Orange Gate - Chembur),Maharashtra,Mumbai City,Mumbai,19.015,72.871,2,1.2,8.0,3.2,16.8,4,4,Low Risk,Mumbai Metropolitan Region Development Authority (MMRDA),https://mmrda.maharashtra.gov.in/,2024-04-05,Structural Maintenance Audit,Verified
Linking Road Commercial Strip (Bandra - Khar West),Maharashtra,Mumbai Suburban,Mumbai,19.062,72.834,11,5.8,41.0,7.0,4.2,3,4,High Risk,MCGM H-West Ward Road Maintenance Register,https://portal.mcgm.gov.in/,2023-09-12,Municipal Field Inspection Log,Verified
Pune - Solapur Arterial Highway (Hadapsar - Loni Kalbhor),Maharashtra,Pune,Pune,18.498,73.945,16,7.8,58.0,8.5,14.5,3,3,High Risk,Pune Municipal Corporation (PMC) Road Department,https://pmc.gov.in/,2024-02-28,PMC Road Audit Register,Verified
